iter	Passed	Remaining
420	1701	2339
421	1702	2331
422	1703	2323
423	1704	2315
424	1705	2306
425	1713	2309
426	1715	2301
427	1716	2294
428	1717	2286
429	1718	2278
430	1720	2270
431	1721	2262
432	1732	2268
433	1734	2261
434	1735	2254
435	1736	2246
436	1748	2252
437	1751	2247
438	1752	2239
439	1753	2232
440	1755	2225
441	1756	2217
442	1758	2210
443	1759	2203
444	1768	2206
445	1770	2198
446	1771	2191
447	1772	2184
448	1774	2177
449	1789	2186
450	1798	2189
451	1801	2183
452	1803	2177
453	1805	2171
454	1807	2165
455	1817	2167
456	1819	2162
457	1821	2155
458	1822	2148
459	1832	2150
460	1833	2143
461	1834	2136
462	1836	2130
463	1837	2122
464	1838	2115
465	1848	2118
466	1850	2112
467	1852	2106
468	1855	2100
469	1863	2101
470	1865	2095
471	1866	2088
472	1868	2081
473	1879	2085
474	1881	2079
475	1883	2073
476	1896	2079
477	1899	2074
478	1900	2067
479	1911	2070
480	1915	2067
481	1917	2060
482	1927	2063
483	1928	2056
484	1931	2050
485	1932	2044
486	1938	2041
487	1940	2035
488	1950	2037
489	1951	2031
490	1953	2024
491	1954	2017
492	1955	2011
493	1969	2017
494	1970	2010
495	1972	2003
496	1982	2005
497	1984	2000
498	1985	1993
499	1988	1988
500	1999	1991
501	2001	1985
502	2003	1979
503	2004	1973
504	2011	1971
505	2013	1965
506	2015	1959
507	2016	1952
508	2017	1946
509	2018	1939
510	2019	1932
511	2027	1932
512	2029	1926
513	2031	1920
514	2036	1917
515	2045	1918
516	2047	1912
517	2048	1905
518	2049	1899
519	2050	1892
520	2051	1886
521	2060	1886
522	2062	1880
523	2063	1874
524	2064	1868
525	2065	1861
526	2066	1855
527	2072	1852
528	2074	1846
529	2078	1843
530	2080	1837
531	2081	1831
532	2082	1824
533	2096	1829
534	2097	1823
535	2098	1816
536	2105	1815
537	2107	1809
538	2109	1803
539	2110	1797
540	2111	1791
541	2112	1785
542	2114	1779
543	2122	1779
544	2124	1773
545	2126	1767
546	2127	1761
547	2128	1755
548	2129	1749
549	2130	1743
550	2138	1742
551	2140	1737
552	2142	1731
553	2143	1725
554	2144	1719
555	2152	1718
556	2153	1712
557	2155	1707
558	2156	1701
559	2158	1695
560	2160	1690
561	2169	1690
562	2170	1684
563	2171	1678
564	2172	1672
565	2174	1667
566	2175	1661
567	2176	1655
568	2182	1653
569	2184	1647
570	2187	1643
571	2188	1637
572	2189	1631
573	2190	1625
574	2191	1619
575	2198	1618
576	2199	1612
577	2200	1606
578	2201	1601
579	2203	1595
580	2204	1589
581	2205	1583
582	2206	1578
583	2212	1576
584	2214	1570
585	2217	1566
586	2219	1561
587	2220	1556
588	2221	1550
589	2229	1549
590	2230	1543
591	2232	1538
592	2234	1533
593	2243	1533
594	2247	1530
595	2249	1524
596	2251	1519
597	2260	1519
598	2261	1514
599	2263	1508
600	2278	1512
601	2279	1506
602	2280	1501
603	2280	1495
604	2281	1489
605	2290	1489
606	2291	1483
607	2293	1478
608	2294	1473
609	2295	1467
610	2297	1462
611	2309	1464
612	2311	1459
613	2313	1454
614	2324	1455
615	2325	1449
616	2326	1444
617	2327	1438
618	2328	1433
619	2343	1436
620	2346	1431
621	2356	1432
622	2357	1426
623	2359	1421
624	2361	1416
625	2368	1415
626	2372	1411
627	2375	1407
628	2377	1402
629	2378	1396
630	2386	1395
631	2387	1390
632	2388	1384
633	2389	1379
634	2391	1374
635	2392	1369
636	2393	1363
637	2402	1363
638	2405	1358
639	2406	1353
640	2408	1348
641	2410	1344
642	2411	1339
643	2413	1334
644	2415	1329
645	2416	1324
646	2418	1319
647	2420	1314
648	2421	1309
649	2422	1304
650	2423	1299
651	2425	1294
652	2426	1289
653	2427	1284
654	2429	1279
655	2430	1274
656	2431	1269
657	2441	1269
658	2444	1264
659	2445	1259
660	2446	1254
661	2447	1249
662	2457	1249
663	2459	1244
664	2460	1239
665	2461	1234
666	2462	1229
667	2463	1224
668	2473	1223
669	2474	1218
670	2475	1213
671	2476	1208
672	2477	1203
673	2479	1199
674	2486	1197
675	2488	1192
676	2489	1187
677	2490	1182
678	2491	1178
679	2493	1173
680	2495	1168
681	2517	1173
682	2523	1171
683	2525	1166
684	2526	1161
685	2527	1157
686	2530	1152
687	2531	1148
688	2532	1143
689	2533	1138
690	2534	1133
691	2542	1131
692	2544	1127
693	2546	1122
694	2547	1117
695	2548	1113
696	2550	1108
697	2551	1103
698	2553	1099
699	2554	1094
700	2555	1090
701	2556	1085
702	2557	1080
703	2559	1076
704	2568	1074
705	2569	1070
706	2570	1065
707	2572	1060
708	2573	1056
709	2574	1051
710	2584	1050
711	2586	1046
712	2587	1041
713	2588	1036
714	2589	1032
715	2590	1027
716	2592	1023
717	2594	1019
718	2596	1014
719	2597	1010
720	2604	1007
721	2608	1004
722	2609	999
723	2611	995
724	2612	991
725	2613	986
726	2622	984
727	2626	981
728	2627	976
729	2628	972
730	2630	967
731	2638	965
732	2640	961
733	2641	957
734	2642	952
735	2643	948
736	2645	943
737	2646	939
738	2651	936
739	2654	932
740	2655	928
741	2656	923
742	2657	919
743	2658	914
744	2660	910
745	2661	906
746	2677	906
747	2685	904
748	2688	901
749	2690	896
750	2696	893
751	2701	890
752	2702	886
753	2703	882
754	2705	877
755	2706	873
756	2715	871
757	2716	867
758	2717	862
759	2719	858
760	2720	854
761	2721	849
762	2725	846
763	2727	842
764	2730	838
765	2731	834
766	2734	830
767	2735	826
768	2744	824
769	2747	820
770	2749	816
771	2751	812
772	2758	810
773	2761	806
774	2763	802
775	2764	798
776	2766	793
777	2767	789
778	2771	786
779	2773	782
780	2774	777
781	2775	773
782	2777	769
783	2781	766
784	2787	763
785	2789	759
786	2791	755
787	2794	751
788	2795	747
789	2796	743
790	2803	740
791	2805	736
792	2806	732
793	2807	728
794	2808	724
795	2809	720
796	2811	716
797	2812	711
798	2818	709
799	2819	704
800	2821	700
801	2822	696
802	2823	692
803	2824	688
804	2825	684
805	2827	680
806	2832	677
807	2833	673
808	2837	669
809	2838	665
810	2840	661
811	2841	657
812	2843	653
813	2848	650
814	2849	646
815	2850	642
816	2852	639
817	2853	634
818	2855	630
819	2856	627
820	2857	622
821	2858	618
822	2863	615
823	2865	611
824	2866	608
825	2867	604
826	2869	600
827	2870	596
828	2872	592
829	2873	588
830	2878	585
831	2879	581
832	2881	577
833	2883	573
834	2886	570
835	2888	566
836	2893	563
837	2895	559
838	2897	555
839	2899	552
840	2901	548
841	2904	544
842	2909	541
843	2911	538
844	2912	534
845	2914	530
846	2915	526
847	2916	522
848	2919	519
849	2925	516
850	2926	512
851	2927	508
852	2928	504
853	2929	500
854	2930	497
855	2931	493
856	2932	489
857	2934	485
858	2941	482
859	2942	479
860	2944	475
861	2945	471
862	2947	467
863	2948	464
864	2950	460
865	2955	457
866	2957	453
867	2959	450
868	2960	446
869	2961	442
870	2962	438
871	2964	435
872	2965	431
873	2966	427
874	2971	424
875	2974	421
876	2975	417
877	2977	413
878	2978	410
879	2979	406
880	2980	402
881	2981	398
882	2987	395
883	2989	392
884	2991	388
885	2993	385
886	2994	381
887	2996	377
888	2997	374
889	3003	371
890	3004	367
891	3007	364
892	3008	360
893	3009	356
894	3010	353
895	3012	349
896	3017	346
897	3018	342
898	3019	339
899	3023	335
900	3024	332
901	3025	328
902	3026	325
903	3032	322
904	3034	318
905	3035	314
906	3036	311
907	3037	307
908	3039	304
909	3041	300
910	3042	297
911	3050	294
912	3052	290
913	3053	287
914	3054	283
915	3055	280
916	3057	276
917	3058	273
918	3063	270
919	3065	266
920	3067	263
921	3069	259
922	3071	256
923	3072	252
924	3073	249
925	3079	246
926	3080	242
927	3082	239
928	3083	235
929	3084	232
930	3085	228
931	3086	225
932	3087	221
933	3088	218
934	3089	214
935	3095	211
936	3098	208
937	3099	204
938	3100	201
939	3102	198
940	3103	194
941	3104	191
942	3108	187
943	3110	184
944	3111	181
945	3112	177
946	3112	174
947	3114	170
948	3115	167
949	3116	164
950	3117	160
951	3118	157
952	3120	153
953	3125	150
954	3127	147
955	3128	143
956	3129	140
957	3130	137
958	3131	133
959	3132	130
960	3133	127
961	3134	123
962	3135	120
963	3145	117
964	3146	114
965	3147	110
966	3149	107
967	3150	104
968	3151	100
969	3153	97
970	3154	94
971	3155	90
972	3156	87
973	3158	84
974	3159	81
975	3160	77
976	3161	74
977	3162	71
978	3163	67
979	3168	64
980	3170	61
981	3171	58
982	3172	54
983	3173	51
984	3174	48
985	3175	45
986	3176	41
987	3179	38
988	3184	35
989	3185	32
990	3186	28
991	3188	25
992	3189	22
993	3190	19
994	3192	16
995	3194	12
996	3200	9
997	3202	6
998	3204	3
999	3205	0
